State/UT,2018-19 - Elementary,2018-19 - Secondary,2019-20 - Elementary,2019-20 - Secondary
Andaman and Nicobar Islands,0.6,22.2,0,15.7
Andhra Pradesh,0,16.4,0,14.8
Arunachal Pradesh,11.4,36,6.6,34.3
Assam,2.7,31.5,4,32.2
Bihar,9.3,28.5,4.5,21.4
Chandigarh,0,4.5,0,4.7
Chhattisgarh,4.8,18.3,2,18.2
Dadra and Nagar Haveli,0.7,20.5,0,20.2
Daman and Diu,0,21.7,0,20
Delhi,0,14.9,0,13.9
Goa,1.3,9.4,0.1,10.2
Gujarat,4.2,23.8,2.6,23.7
Haryana,0.3,14.8,0.2,13.3
Himachal Pradesh,0.3,7.8,0.7,7.2
Jammu and Kashmir,6.6,17.8,3.7,16.7
Jharkhand,7,22.2,7,16.6
Karnataka,0,23.4,1.6,16.8
Kerala,0.1,9.1,0,7.9
Ladakh,NA,NA,3,11.4
Lakshadweep,0,4.6,0,6.7
Madhya Pradesh,4.2,24.8,2,23.2
Maharashtra,1.5,13.3,0.4,15.2
Manipur,5.2,13,7.3,9.2
Meghalaya,14.8,19.5,7.3,22.2
Mizoram,6.1,10.6,6.1,20.4
Nagaland,9.2,24.1,4.6,21.2
Odisha,4,9.5,2.2,23.6
Puducherry,0.4,12.7,0,7.9
Punjab,1.9,11.5,0,1.6
Rajasthan,4.7,12.7,2.4,12.3
Sikkim,3.6,23.7,0,23.2
Tamil Nadu,0.9,13,0.8,9.6
Telangana,2.3,13.5,0,12.3
Tripura,3.5,29.5,2.6,26.7
Uttar Pradesh,8.5,15.5,2.5,14.4
Uttarakhand,3.7,10.9,2.4,8.4
West Bengal,2.7,19.5,0,13.8
All India,4.5,17.9,1.9,16.1
